nombre,marca,categoria,precio_orig,precio_actual,desc_corta,descripcion,imagen_url,url_detalle
l`eau d`issey pour homme edt 125ml,,,,,l`eau d`issey pour homme edt 125ml,,https://perfumedigital.es/catalog/iseyhom68.jpg,https://perfumedigital.es/index.php?op=descripcion&id=1108
NARCISO RODRIGUEZ WOMAN EDT 100 ML,,,95.00,44.99,NARCISO RODRIGUEZ WOMAN EDT 100 ML,,https://perfumedigital.es/catalog/narcisowomedt22.JPG,https://perfumedigital.es/index.php?op=descripcion&id=12012
d&g light blue woman edt 100ml,,,,,d&g light blue woman edt 100ml,,https://perfumedigital.es/catalog/lightbl21.jpg,https://perfumedigital.es/index.php?op=descripcion&id=24594
zadig & voltaire this is her edp 100 ml,,,,,zadig & voltaire this is her edp 100 ml,,https://perfumedigital.es/catalog/zadigvol233.jpg,https://perfumedigital.es/index.php?op=descripcion&id=25515
anais anais l`original woman edt 100ml,,,,,anais anais l`original woman edt 100ml,,https://perfumedigital.es/catalog/anais100ml3.png,https://perfumedigital.es/index.php?op=descripcion&id=26862
givenchy l`interdit woman edp 80 ml,,,,,givenchy l`interdit woman edp 80 ml,,https://perfumedigital.es/catalog/interdir213.jpg,https://perfumedigital.es/index.php?op=descripcion&id=29057
euphoria woman edp 100 ml,,,,,euphoria woman edp 100 ml,,https://perfumedigital.es/catalog/eup1rianew22.jpg,https://perfumedigital.es/index.php?op=descripcion&id=31264
d&g light blue man edt (formato antiguo),,,,,d&g light blue man edt (formato antiguo),,https://perfumedigital.es/catalog/lightb125211.jpg,https://perfumedigital.es/index.php?op=descripcion&id=33267
rochas citron soleil edt 100 ml,,,,,rochas citron soleil edt 100 ml,,https://perfumedigital.es/catalog/citronsole21.jpg,https://perfumedigital.es/index.php?op=descripcion&id=34084
valentino donna born in roma green strav,,,,,valentino donna born in roma green strav,,https://perfumedigital.es/catalog/greensttr2231.jpg,https://perfumedigital.es/index.php?op=descripcion&id=35018
prada infusion de gingembre edp 100 ml,,,,,prada infusion de gingembre edp 100 ml,,https://perfumedigital.es/catalog/infusionge21.jpg,https://perfumedigital.es/index.php?op=descripcion&id=36111
elizabeth arden green tea coconut breeze,,,,,elizabeth arden green tea coconut breeze,,https://perfumedigital.es/catalog/coconutbree2.jpg,https://perfumedigital.es/index.php?op=descripcion&id=37370
ck be unisex (negra) edt 200ml regular,,,,,ck be unisex (negra) edt 200ml regular,,https://perfumedigital.es/catalog/ckbe345.jpg,https://perfumedigital.es/index.php?op=descripcion&id=37446
calvin klein one unisex (blanca) edt 100,,,,,calvin klein one unisex (blanca) edt 100,,https://perfumedigital.es/catalog/ckone20087.jpg,https://perfumedigital.es/index.php?op=descripcion&id=39181
