/Users/jeremjeremydevy/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
============================================================
  Scraper perfumedigital.es — Productos completos
============================================================
  Modo: Solo listado (rápido)
  Incremento PASE: 15 (recomendado 15)
  Salida: productos_completos.csv
============================================================

📄 Cargando página 1...
   Total páginas (según web): 339
   Productos detectados en HTML (página 1): 29
   → Usando PASE = (n-1)*15 (no usar 29 como paso; ver docstring).

📄 Página 1/339  (PASE=0)  [acumulado: 0 productos]
📄 Página 2/339  (PASE=15)  [acumulado: 29 productos]
📄 Página 3/339  (PASE=30)  [acumulado: 43 productos]
📄 Página 4/339  (PASE=45)  [acumulado: 57 productos]
📄 Página 5/339  (PASE=60)  [acumulado: 72 productos]
📄 Página 6/339  (PASE=75)  [acumulado: 87 productos]
📄 Página 7/339  (PASE=90)  [acumulado: 102 productos]
📄 Página 8/339  (PASE=105)  [acumulado: 117 productos]
📄 Página 9/339  (PASE=120)  [acumulado: 132 productos]
📄 Página 10/339  (PASE=135)  [acumulado: 147 productos]
📄 Página 11/339  (PASE=150)  [acumulado: 161 productos]
📄 Página 12/339  (PASE=165)  [acumulado: 176 productos]
📄 Página 13/339  (PASE=180)  [acumulado: 190 productos]
📄 Página 14/339  (PASE=195)  [acumulado: 205 productos]
📄 Página 15/339  (PASE=210)  [acumulado: 220 productos]
📄 Página 16/339  (PASE=225)  [acumulado: 235 productos]
📄 Página 17/339  (PASE=240)  [acumulado: 250 productos]
📄 Página 18/339  (PASE=255)  [acumulado: 265 productos]
📄 Página 19/339  (PASE=270)  [acumulado: 280 productos]
📄 Página 20/339  (PASE=285)  [acumulado: 295 productos]
📄 Página 21/339  (PASE=300)  [acumulado: 310 productos]
📄 Página 22/339  (PASE=315)  [acumulado: 325 productos]
📄 Página 23/339  (PASE=330)  [acumulado: 340 productos]
📄 Página 24/339  (PASE=345)  [acumulado: 355 productos]
📄 Página 25/339  (PASE=360)  [acumulado: 370 productos]
📄 Página 26/339  (PASE=375)  [acumulado: 385 productos]
📄 Página 27/339  (PASE=390)  [acumulado: 400 productos]
📄 Página 28/339  (PASE=405)  [acumulado: 415 productos]
📄 Página 29/339  (PASE=420)  [acumulado: 430 productos]
📄 Página 30/339  (PASE=435)  [acumulado: 445 productos]
📄 Página 31/339  (PASE=450)  [acumulado: 460 productos]
📄 Página 32/339  (PASE=465)  [acumulado: 475 productos]
📄 Página 33/339  (PASE=480)  [acumulado: 490 productos]
📄 Página 34/339  (PASE=495)  [acumulado: 505 productos]
📄 Página 35/339  (PASE=510)  [acumulado: 520 productos]
📄 Página 36/339  (PASE=525)  [acumulado: 535 productos]
📄 Página 37/339  (PASE=540)  [acumulado: 550 productos]
📄 Página 38/339  (PASE=555)  [acumulado: 565 productos]
📄 Página 39/339  (PASE=570)  [acumulado: 580 productos]
📄 Página 40/339  (PASE=585)  [acumulado: 595 productos]
📄 Página 41/339  (PASE=600)  [acumulado: 610 productos]
📄 Página 42/339  (PASE=615)  [acumulado: 625 productos]
📄 Página 43/339  (PASE=630)  [acumulado: 640 productos]
📄 Página 44/339  (PASE=645)  [acumulado: 655 productos]
📄 Página 45/339  (PASE=660)  [acumulado: 670 productos]
📄 Página 46/339  (PASE=675)  [acumulado: 685 productos]
📄 Página 47/339  (PASE=690)  [acumulado: 700 productos]
📄 Página 48/339  (PASE=705)  [acumulado: 715 productos]
📄 Página 49/339  (PASE=720)  [acumulado: 730 productos]
📄 Página 50/339  (PASE=735)  [acumulado: 745 productos]
📄 Página 51/339  (PASE=750)  [acumulado: 760 productos]
📄 Página 52/339  (PASE=765)  [acumulado: 775 productos]
📄 Página 53/339  (PASE=780)  [acumulado: 790 productos]
📄 Página 54/339  (PASE=795)  [acumulado: 805 productos]
📄 Página 55/339  (PASE=810)  [acumulado: 820 productos]
📄 Página 56/339  (PASE=825)  [acumulado: 835 productos]
📄 Página 57/339  (PASE=840)  [acumulado: 850 productos]
📄 Página 58/339  (PASE=855)  [acumulado: 865 productos]
📄 Página 59/339  (PASE=870)  [acumulado: 880 productos]
📄 Página 60/339  (PASE=885)  [acumulado: 895 productos]
📄 Página 61/339  (PASE=900)  [acumulado: 910 productos]
📄 Página 62/339  (PASE=915)  [acumulado: 925 productos]
📄 Página 63/339  (PASE=930)  [acumulado: 940 productos]
📄 Página 64/339  (PASE=945)  [acumulado: 955 productos]
📄 Página 65/339  (PASE=960)  [acumulado: 970 productos]
📄 Página 66/339  (PASE=975)  [acumulado: 985 productos]
📄 Página 67/339  (PASE=990)  [acumulado: 1000 productos]
📄 Página 68/339  (PASE=1005)  [acumulado: 1015 productos]
📄 Página 69/339  (PASE=1020)  [acumulado: 1030 productos]
📄 Página 70/339  (PASE=1035)  [acumulado: 1045 productos]
📄 Página 71/339  (PASE=1050)  [acumulado: 1060 productos]
📄 Página 72/339  (PASE=1065)  [acumulado: 1075 productos]
📄 Página 73/339  (PASE=1080)  [acumulado: 1090 productos]
📄 Página 74/339  (PASE=1095)  [acumulado: 1105 productos]
📄 Página 75/339  (PASE=1110)  [acumulado: 1120 productos]
📄 Página 76/339  (PASE=1125)  [acumulado: 1135 productos]
📄 Página 77/339  (PASE=1140)  [acumulado: 1150 productos]
📄 Página 78/339  (PASE=1155)  [acumulado: 1165 productos]
📄 Página 79/339  (PASE=1170)  [acumulado: 1180 productos]
📄 Página 80/339  (PASE=1185)  [acumulado: 1195 productos]
📄 Página 81/339  (PASE=1200)  [acumulado: 1210 productos]
📄 Página 82/339  (PASE=1215)  [acumulado: 1225 productos]
📄 Página 83/339  (PASE=1230)  [acumulado: 1240 productos]
📄 Página 84/339  (PASE=1245)  [acumulado: 1255 productos]
📄 Página 85/339  (PASE=1260)  [acumulado: 1270 productos]
📄 Página 86/339  (PASE=1275)  [acumulado: 1285 productos]
📄 Página 87/339  (PASE=1290)  [acumulado: 1300 productos]
📄 Página 88/339  (PASE=1305)  [acumulado: 1315 productos]
📄 Página 89/339  (PASE=1320)  [acumulado: 1330 productos]
📄 Página 90/339  (PASE=1335)  [acumulado: 1345 productos]
📄 Página 91/339  (PASE=1350)  [acumulado: 1360 productos]
📄 Página 92/339  (PASE=1365)  [acumulado: 1375 productos]
📄 Página 93/339  (PASE=1380)  [acumulado: 1390 productos]
📄 Página 94/339  (PASE=1395)  [acumulado: 1405 productos]
📄 Página 95/339  (PASE=1410)  [acumulado: 1420 productos]
📄 Página 96/339  (PASE=1425)  [acumulado: 1435 productos]
📄 Página 97/339  (PASE=1440)  [acumulado: 1450 productos]
📄 Página 98/339  (PASE=1455)  [acumulado: 1465 productos]
📄 Página 99/339  (PASE=1470)  [acumulado: 1480 productos]
📄 Página 100/339  (PASE=1485)  [acumulado: 1495 productos]
📄 Página 101/339  (PASE=1500)  [acumulado: 1510 productos]
📄 Página 102/339  (PASE=1515)  [acumulado: 1525 productos]
📄 Página 103/339  (PASE=1530)  [acumulado: 1540 productos]
📄 Página 104/339  (PASE=1545)  [acumulado: 1555 productos]
📄 Página 105/339  (PASE=1560)  [acumulado: 1570 productos]
📄 Página 106/339  (PASE=1575)  [acumulado: 1585 productos]
📄 Página 107/339  (PASE=1590)  [acumulado: 1600 productos]
📄 Página 108/339  (PASE=1605)  [acumulado: 1615 productos]
📄 Página 109/339  (PASE=1620)  [acumulado: 1630 productos]
📄 Página 110/339  (PASE=1635)  [acumulado: 1645 productos]
📄 Página 111/339  (PASE=1650)  [acumulado: 1660 productos]
📄 Página 112/339  (PASE=1665)  [acumulado: 1675 productos]
📄 Página 113/339  (PASE=1680)  [acumulado: 1690 productos]
📄 Página 114/339  (PASE=1695)  [acumulado: 1705 productos]
📄 Página 115/339  (PASE=1710)  [acumulado: 1720 productos]
📄 Página 116/339  (PASE=1725)  [acumulado: 1735 productos]
📄 Página 117/339  (PASE=1740)  [acumulado: 1750 productos]
📄 Página 118/339  (PASE=1755)  [acumulado: 1765 productos]
📄 Página 119/339  (PASE=1770)  [acumulado: 1780 productos]
📄 Página 120/339  (PASE=1785)  [acumulado: 1795 productos]
📄 Página 121/339  (PASE=1800)  [acumulado: 1809 productos]
📄 Página 122/339  (PASE=1815)  [acumulado: 1824 productos]
📄 Página 123/339  (PASE=1830)  [acumulado: 1839 productos]
📄 Página 124/339  (PASE=1845)  [acumulado: 1854 productos]
📄 Página 125/339  (PASE=1860)  [acumulado: 1869 productos]
📄 Página 126/339  (PASE=1875)  [acumulado: 1884 productos]
📄 Página 127/339  (PASE=1890)  [acumulado: 1899 productos]
📄 Página 128/339  (PASE=1905)  [acumulado: 1914 productos]
📄 Página 129/339  (PASE=1920)  [acumulado: 1929 productos]
📄 Página 130/339  (PASE=1935)  [acumulado: 1944 productos]
📄 Página 131/339  (PASE=1950)  [acumulado: 1959 productos]
📄 Página 132/339  (PASE=1965)  [acumulado: 1974 productos]
📄 Página 133/339  (PASE=1980)  [acumulado: 1989 productos]
📄 Página 134/339  (PASE=1995)  [acumulado: 2004 productos]
📄 Página 135/339  (PASE=2010)  [acumulado: 2019 productos]
📄 Página 136/339  (PASE=2025)  [acumulado: 2034 productos]
📄 Página 137/339  (PASE=2040)  [acumulado: 2049 productos]
📄 Página 138/339  (PASE=2055)  [acumulado: 2064 productos]
📄 Página 139/339  (PASE=2070)  [acumulado: 2079 productos]
📄 Página 140/339  (PASE=2085)  [acumulado: 2094 productos]
📄 Página 141/339  (PASE=2100)  [acumulado: 2109 productos]
📄 Página 142/339  (PASE=2115)  [acumulado: 2124 productos]
📄 Página 143/339  (PASE=2130)  [acumulado: 2139 productos]
📄 Página 144/339  (PASE=2145)  [acumulado: 2154 productos]
📄 Página 145/339  (PASE=2160)  [acumulado: 2169 productos]
📄 Página 146/339  (PASE=2175)  [acumulado: 2184 productos]
📄 Página 147/339  (PASE=2190)  [acumulado: 2199 productos]
📄 Página 148/339  (PASE=2205)  [acumulado: 2214 productos]
📄 Página 149/339  (PASE=2220)  [acumulado: 2229 productos]
📄 Página 150/339  (PASE=2235)  [acumulado: 2243 productos]
📄 Página 151/339  (PASE=2250)  [acumulado: 2258 productos]
📄 Página 152/339  (PASE=2265)  [acumulado: 2273 productos]
📄 Página 153/339  (PASE=2280)  [acumulado: 2288 productos]
📄 Página 154/339  (PASE=2295)  [acumulado: 2303 productos]
📄 Página 155/339  (PASE=2310)  [acumulado: 2318 productos]
📄 Página 156/339  (PASE=2325)  [acumulado: 2333 productos]
📄 Página 157/339  (PASE=2340)  [acumulado: 2348 productos]
📄 Página 158/339  (PASE=2355)  [acumulado: 2363 productos]
📄 Página 159/339  (PASE=2370)  [acumulado: 2378 productos]
📄 Página 160/339  (PASE=2385)  [acumulado: 2393 productos]
📄 Página 161/339  (PASE=2400)  [acumulado: 2408 productos]
📄 Página 162/339  (PASE=2415)  [acumulado: 2423 productos]
📄 Página 163/339  (PASE=2430)  [acumulado: 2438 productos]
📄 Página 164/339  (PASE=2445)  [acumulado: 2453 productos]
